Review,Rating,Location,Date of Experience,Sentiment,cleaned_review,Day,Month,Year
"I recently hired a car from Fox in Phoenix Arizona from the airport I booked it through auto/slash for $486 when I pick the car up, I was charged $846. I’ve tried to dispute it with no joy. The staff at the car handover were miserable rude and I would never use this company again.",1,AW,2024-10-22,Negative,recently hire car fox phoenix arizona airport book autoslash pick car charge I ve try dispute joy staff car handover miserable rude would never use company,22,October,2024
"Booked rental for pickup up in Aruba, reservation was booked 3 days prior to our arrival for 9:30 am pickup. At 9:00 am get a text asking for our flight number which we replied back we arrived the night prior. We are advised at this time the car was rented out 5 days earlier and is not due back until 1:00 pm. When I called, I spoke to a manager that was totally incompetent. Her position was that the car rental system does not align the times but clearly they knew my time was 9:30 AM pick up and that the car that was rented five days prior was not due until 1 PM. This company is a total joke and when you call their customer service it’s people in the Philippines, which barely could understand English do not rent from Fox. They are the most unprofessional car rental company I’ve ever dealt with! So planning our day is not important to this company since they lack the business professionalism to notify the Customer ahead of time so much for planning our day!",1,US,2025-03-03,Negative,book rental pickup aruba reservation book day prior arrival pickup get text ask flight number reply back arrive night prior advise time car rent day early due back pm call speak manager totally incompetent position car rental system align time clearly know time pick car rent five day prior due pm company total joke call customer service people philippine barely could understand english rent fox unprofessional car rental company I ve ever deal plan day important company since lack business professionalism notify customer ahead time much planning day,3,March,2025
"An employee for us traveled to Tampa. First mistake was using Expedia. In no obvious place did it tell you the renter has to have a credit card and not a debit card in his name before renting. He does carry a company debit card in his name. Nothing during the rental process stated this. We try to never travel with credit cards or any cards we do not need. Fox would not rent him the car paid for in advance. They had a sign that specifically read, ""if thius happens request your refund from the third party used to secure the rental. That would be Expedia. Once he was left 1000 miles from home with no transportation he went to Next car rental and within 10 minutes had a vehicle. Be aware of the scams Expedia and Fox car rental run. Look around the internet. They do this to unsuspecting travelers everyday all over the country, then keep their money. Nice racquet.",1,US,2025-02-25,Negative,employee we travel tampa first mistake use expedia obvious place tell renter credit card debit card name renting carry company debit card name nothing rental process state try never travel credit card card need fox would rent car pay advance sign specifically read thius happen request refund third party use secure rental would expedia leave miles home transportation go next car rental within minute vehicle aware scam expedia fox car rental run look around internet unsuspecting traveler everyday country keep money nice racquet,25,February,2025
"I reserved a luxury car. They jerked me around for an hour saying it was delayed, then needed cleaned, when I bitched about the wait, they offered me an upgrade for $65 a day for 41 days. When I said No, they offered me a choice of 2 cars in a lower rate class that they said were ready to roll (no refund for the lower rated vehicle). 25 minutes after I agreed, they said the delay was due to it needing to be cleaned. Since I had to wait I told them Id take the original car I reserved, then they told me they didnt have one. Lied to me from the beginning attempting to get me to pay more for the rental. Their extra charges, not disclosed ar time of reservation are excessive.  I declined everything BUT the agent put them on the bill. I MADE him remove them and then I started being ignored. I asked for a supervisor and the agent gave me the name of a vehicle intake guy, not a supervisor. When I got to the real manager, she was awesome, she dealt with me being outraged and offered me a small discount. I ended up with a lesser vehicle with a sports seat that isn't any good for a guy w 4 lower back surgeries and lots of metal. I had to roll out of this piece of garbage and Im expected to keep it for the whole 6 week rental. This is not over.I will never ever trust this company again regardless of the rates.I spent nearly 2 hours at the office with poor results. I prepaid the reservation so they couldnt refund it so I could go to a reputable rental car company.  This company deserves and works hard to get their 1.1-1.6 rating",1,US,2025-02-26,Negative,reserve luxury car jerk around hour say delay need clean bitch wait offer upgrade day day say offer choice car low rate class say ready roll refund lower rate vehicle minute agree say delay due need clean since wait tell I d take original car reserve tell do not one lie beginning attempt get pay rental extra charge disclose ar time reservation excessive decline everything agent put bill make remove started ignore ask supervisor agent give name vehicle intake guy supervisor get real manager awesome deal outraged offer small discount end less vehicle sport seat be not good guy w low back surgery lot metal roll piece garbage I m expect keep whole week rental overi never ever trust company regardless ratesi spend nearly hour office poor result prepay reservation could not refund could go reputable rental car company company deserve work hard get rating,26,February,2025
"We reserved a vehicle for April 29th, but had to cancel due to unforseen sale of our son and daughter in laws property where they were renting, had to cancel the vacation, and reservation, Fox refused to refund the deposit because of their ridiculous no refund policy, really? Canceled over 2 months ahead of time,  I don't care what policy you carry, unforseen incidents and canceling over 2 months ahead of time should be a customer courtesy not a customer ripoff, ",1,DK,2025-02-19,Negative,reserve vehicle april th cancel due unforseen sale son daughter law property rent cancel vacation reservation fox refuse refund deposit ridiculous refund policy really cancel month ahead time do not care policy carry unforseen incident cancel month ahead time customer courtesy customer ripoff,19,February,2025
"Overall good service, car and location in LAX, but getting hammered with a 130 dollars airport fees for a simply rental isn't the way to go as a company. You can go fox yourself...",2,HR,2025-02-16,Negative,overall good service car location lax getting hammer dollar airport fee simply rental be not way go company go fox,16,February,2025
"Avoid Fox Car in Morocco – Hidden Fees & Terrible Service!I had an awful experience renting a car from Fox Rent a Car in Marrakesh Airport, Morocco. They charged me €25 for an AdBlue tank that was completely empty after just one day of rental! This is a clear scam – they either gave me a car with an almost empty AdBlue tank or deliberately set it up so I’d be forced to refill it myself.When I reached out to them about the issue, their customer service was useless – completely dismissive and unwilling to help. Instead of admitting their mistake, they just brushed me off and refused to take responsibility. This is nothing but a cheap way to extract extra money from customers.If you’re thinking about renting from Fox Rent a Car in Marrakesh, Morocco – DON’T! Be ready for hidden fees and unethical business practices. There are plenty of other rental companies that won’t try to rip you off.Save yourself the frustration and go elsewhere!",1,US,2025-02-05,Negative,avoid fox car morocco hide fee terrible servicei awful experience renting car fox rent car marrakesh airport morocco charge adblue tank completely empty one day rental clear scam either give car almost empty adblue tank deliberately set I d force refill myselfwhen reach issue customer service useless completely dismissive unwilling help instead admit mistake brush refuse take responsibility nothing cheap way extract extra money customersif you re think rent fox rent car marrakesh morocco do not ready hide fee unethical business practice plenty rental company will not try rip offsave frustration go elsewhere,5,February,2025
"Kind of a mixed bag.  Made a reso through priceline for a vehicle at St. Maarten airport.  Shuttle experience was fine- Fox is actually Europcar there.  However, upon arriving at the office another client and I were told that there were no cars available, despite both of our confirmed reservations.  The manager said that he was only honoring pre-paid reservations.  The other gent ended up securing a car after he told them that a local friend had called to make the reso.  I think I looked so deflated and defeated that they decided they had a car for me after all.  The next shuttle arrives and I heard them tell 10 more people there were no cars available even though they also had reservations-  who knows how many people were in the same situation.My rental ended up being fine, but only through luck-  if pre-payment is required they should relay this to priceline, or just ensure the number of reservations matches the number of vehicles (seems pretty basic logic for a car rental company).  Needless stress upon arrival for vacation.",3,GB,2025-01-18,Neutral,kind mixed bag make reso priceline vehicle st maarten airport shuttle experience fine fox actually europcar however upon arrive office another client tell car available despite confirm reservation manager say honor prepay reservation gent end securing car tell local friend call make reso think look deflate defeat decide car next shuttle arrive hear tell people car available even though also reservation know many people situationmy rental end fine luck prepayment require relay priceline ensure number reservation match number vehicle seem pretty basic logic car rental company needless stress upon arrival vacation,18,January,2025
"Worst service we have ever received, we paid for our biking prior to travelling. When we went to pick up our prebooked and paid for rental we were told they can see we’ve made a payment but can’t find the booking despite having a booking reference. We were asked to pay again and told we can request a refund for the original booking.We have number n back and fourth with Fox rental, carjet and you do Spain to no prevail. We are owed £239.36 which may seem like a trivial amount but to us it’s quite a bit of money.I have disappointed by the lack of reply from carjet. We have never hired a car through carjet, fox rental or you do Spain before and we now will never use them again and will tell all our friends and family and our contacts in the travel industry never to recommend them.It is appalling how they think it’s ok to not refund what is due, when we work so hard for every cent and can’t afford not to be refunded,It has been just shy of four month chasing our refund.",1,US,2024-11-15,Negative,bad service ever receive pay bike prior travel go pick prebooke pay rental tell see we ve make payment can not find booking despite booking reference ask pay tell request refund original bookingwe number n back fourth fox rental carjet spain prevail owe may seem like trivial amount we quite bit moneyi disappoint lack reply carjet never hire car carjet fox rental spain never use tell friend family contact travel industry never recommend themit appalling think ok refund due work hard every cent can not afford refundedit shy four month chase refund,15,November,2024
"Over an hour wait in line to pick up the car, quoted 71.00 for a day rental, total came to over 125.00 due to all the hidden charges.The staff were all unacceptably rude, and the drop off is NOT at the Miami airport, I had to pay for an uber from the rental to the airport. Never again. ",1,US,2025-02-02,Negative,hour wait line pick car quote day rental total come due hide chargesthe staff unacceptably rude drop miami airport pay uber rental airport never,2,February,2025
We rented a car from Fox car rental online about 3 months in advance. We get to Miami. The Fox line had about 40 people in it. We finally get to the front. The didn’t have cars. They wanted to charge us an extra $250 and bring in a car from another location. We took a taxi back to the airport and rented a car from Avis. We saved a lot of money. Fox is a hassle. There low prices are too good to be true! Stay away! Use a reputable car rental company!,1,US,2024-04-02,Negative,rent car fox car rental online month advance get miami fox line people finally get front do not car wanted charge we extra bring car another location take taxi back airport rent car avis save lot money fox hassle low price good true stay away use reputable car rental company,2,April,2024
"I rented a car 2 days before my trip. I had never rented from Fox before. Everything went really well. The shuttle came as soon as we walked out of baggage claim. The woman driving the shuttle was kind, upbeat and so helpful-great personality! No wait to speak of at Fox. David, the manager was terrific and within minutes we were on our way. Will absolutely use them again. Best of all the were incredibly reasonable!",5,EC,2025-01-18,Positive,rent car day trip never rent fox everything go really well shuttle came soon walk baggage claim woman drive shuttle kind upbeat helpfulgreat personality wait speak fox david manager terrific within minute way absolutely use well incredibly reasonable,18,January,2025
These people are thieves and booking.com is with them and will not guarantee any customer defense. I paid $309 in booking.com for the car rented and insurance of $50 . It was a huge disappointment as well because they lead me to the FOX- EUROPCar stealers that charge me $96.13 for tolls and bridges services that I didn’t use because I was hosted in Pompano beach and it was just one day that I travel to Sawgrass Mills and to El Doral . These is a horrible business and their customer service are low people that would be over flattering to trap you . ,1,US,2024-11-30,Negative,people thieve bookingcom guarantee customer defense pay bookingcom car rent insurance huge disappointment well lead fox europcar stealer charge toll bridge service do not use hosted pompano beach one day travel sawgrass mills el doral horrible business customer service low people would flatter trap,30,November,2024
"Horrible experienceRented a car in San Diego, should of read the reviews would have changed my mind. The hidden fees are there, they will get a 50$ fee wether they call it a late or extension fee. Beware, rent some where else. Enterprise way better. Never again, no help from customer services. Outsourced!!!! ",1,CA,2025-01-15,Negative,horrible experiencerente car san diego read review would change mind hide fee get fee wether call late extension fee beware rent else enterprise way well never help customer service outsource,15,January,2025
"Horrible experience in LAX  Ca.!Horrible experience in LAX ,LA Ca.!! Fake pleasant LADY said they did Not have car i contracted to rent through Expedia. “Only had” LUX  CAR, for  $180 dollars more.  Legally, they need to provide similar car, for same price.I didn’t see final bill, until weeks later. They charged me $500 extra plus additional fees!!! My Expedia receipt said my payment included all taxes and fees.",1,US,2024-12-22,Negative,horrible experience lax cahorrible experience lax la can fake pleasant lady say car contract rent expedia lux car dollar legally need provide similar car pricei do not see final bill week later charge extra plus additional fee expedia receipt say payment include taxis fee,22,December,2024
"The employee working at the Salt Lake City Fox Rent a Car counter directly lied to me. The whole Fox rental procedure is systemically designed to defraud renters. Here was my experience, which I observed replicated for the customers before and after me. First, they imply that renters must get a Loss Damage Waiver. This is not necessary, but Fox calls one level the ""minimum"" level, when in fact a LDW is not required. When asked about it, the employee suggested that I had to have proof that my insurance would cover rental car damage. When I pushed on this, she admitted the proof she had just asked for was not required. Next, she tried to email the contract to ensure that the I did not see that the LDW and roadside assistance had been added.I asked for a printed copy and saw that these fees were there. I asked her to remove the LDW and she told me it had been removed. I then did the vehicle inspection and returned the form to her. In fact, she had not removed the LDW. Had I then asked for a new printout of the contract, I would have seen this, but I stupidly trusted that it had been removed. After checking in the car, on my way to the airport, I found out that I had been charged an additional $380 in fees I had specifically, explicitly declined and had been told had been removed.Moral of the story -- don't drive away until you have a printed contract in your hand showing that no additional fees are being charged.",1,US,2024-12-26,Negative,employee work salt lake city fox rent car counter directly lie whole fox rental procedure systemically design defraud renter experience observe replicate customer first imply renter must get loss damage waiver necessary fox call one level minimum level fact ldw require ask employee suggest proof insurance would cover rental car damage push admit proof ask require next try email contract ensure see ldw roadside assistance addedi ask print copy see fee ask remove ldw tell remove vehicle inspection return form fact remove ldw ask new printout contract would seen stupidly trust removed checking car way airport found charge additional fee specifically explicitly decline tell removedmoral story do not drive away print contract hand show additional fee charge,26,December,2024
Was defrauded by the fox in LAX. Got charged $700 in undisclosed ‘service fees’ for a $200 rental. Learn from my mistakes and get your rental car elsewhere,1,LC,2024-12-26,Negative,defraud fox lax get charge undisclosed service fee rental learn mistake get rental car elsewhere,26,December,2024
"Mask mandates? Seriously, Not happening. You will receive an email that masks are required for pickup an drop off. People will not learn until we all stick together and say no more nonsense. Canceled my reservation, back to Avis I go. ",1,US,2024-12-21,Negative,mask mandate seriously happen receive email mask require pickup drop people learn stick together say nonsense cancel reservation back avis go,21,December,2024
"DO NOT USE THIS COMPANY!! This was the WORST rental experience I have ever had or imagined. We reserved and paid for a full size SUV (7-9 seat) to Caravan to Florida from Georgia (we live locally) specifically to fit 7 people to a wedding.  Not only did they say they didn't have any more full sizes, they refuse to compensate for our reservation in any way. I was at one point hung up by their billing department saying they will have a supervisor call me (never did). We had to take 2 cars to get all of us there (which of course defeated the whole purpose). I am most frustrated that we kept being put off to reach out after returning for compensation only to be told there was no solution. I assume this was so we didn't return the vehicle right away. The lack of accountability and professionalism (even without a refund) is unbelievable. I will be reporting them to the BBB since we have lost out on near $400 (not including the second car we had to take). I blame myself for not checking their ratings before booking. ",1,US,2024-12-12,Negative,use company bad rental experience ever imagine reserve pay full size suv seat caravan florida georgia live locally specifically fit people wedding say do not full size refuse compensate reservation way one point hung billing department say supervisor call never take car get we course defeat whole purpose frustrate keep put reach return compensation tell solution assume do not return vehicle right away lack accountability professionalism even without refund unbelievable reporting bbb since lose near include second car take blame check rating booking,12,December,2024
"We rented a vehicle at Fox in Las Vegas. The price quoted was $224. We fillled it full with gas prior to bring ing back. Dropped it off with Fox employee. He provided paper to us. The next day I reviewed all my credit charges online with my Visa company and saw where Fox charged $330! I called and a person named Michael stated the charge was for not bringing the car back full and they had to put 11 gallons back into it.  What? It was full.  He said that if I wanted to question it, that I would need to send screenshots of my credit card bill. So I did this; still no response after two weeks. So I called again and spoke to another employee and they gave me another email to use. I sent same info to him and still no response. Now it has been 22 days and no email response. I am very disappointed in how they can add fake charges. The tank was full! Make sure if you rent from Fox that you take pictures of your full tank, make sure the employee starts the car and sees that it is a full tank; get that employee's name, and hope they don't gouge you. ",1,Other,2024-11-19,Negative,rent vehicle fox las vegas price quote fillle full gas prior bring ing back drop fox employee provide paper we next day review credit charge online visa company see fox charge call person name michael state charge bring car back full put gallon back full say want question would need send screenshot credit card bill still response two week call speak another employee give another email use send info still response day email response disappoint add fake charge tank full make sure rent fox take picture full tank make sure employee start car see full tank get employee name hope do not gouge,19,November,2024
I reserved a car from fox using rentcar.com but they charge to my credit card additional payments besides that the reservations says that I didn't need to pay anything more. Currently i am disputing the additional charges but I think I will not recover the money back. ,2,US,2024-12-03,Negative,reserve car fox use rentcarcom charge credit card additional payment besides reservation say do not need pay anything currently dispute additional charge think recover money back,3,December,2024
"On 10/30/24, during the car rental process at Fox Rent A car. I was pressured into signing a car rental agreement in a small tablet with just the signature/initial box without letting me see what I am signing.  All I saw was the blank signature/initial box that Christina at Fox Rent A Car Las Vegas asked me to sign and initial.  I don't even know I am signed up for all the rental car add-on of $379.42.  After I signed the agreement form, Christina gave me the agreement form of $521.75.  I asked “What is this $521.75 is for?  Since I already paid for the total car rental cost of $142.33 to Fox Rent A Car on my credit card on 10/28/24” Christina told me “It is a temporary credit card hold, and I won't be seeing this $521.75 hold after I returned the rental car”.  After I returned my rental car, I received a receipt of 521.75, in which $379.42 is the rental car add-on that I have no knowledge about that was charged to my credit card.  After checking my credit card account, those charges are real charge and are not temporary credit card hold like Christina said.  This transaction process is a scam and a very bad business practice, which is totally unacceptable.  In addition, I am being charged 6 times on airport shuttle fees when I only used the shuttle two times, to and from the airport. The pressure tactics, the lies, and doesn't let customers see what they are signing into lure customers on purchases of all the rental car add-on are unacceptable. I won't be going back to Fox Rent A Car ever again. Based on thousands of reviews on the internet complaining the same things on bad business practices and tactics that Fox Rent A Car used, it is recommended not go to with this rental car company.",1,US,2024-10-30,Negative,car rental process fox rent car pressure sign car rental agreement small tablet signatureinitial box without let see signing see blank signatureinitial box christina fox rent car las vegas ask sign initial do not even know sign rental car addon sign agreement form christina give agreement form ask since already pay total car rental cost fox rent car credit card christina tell temporary credit card hold will not see hold return rental car return rental car receive receipt rental car addon knowledge charge credit card check credit card account charge real charge temporary credit card hold like christina say transaction process scam bad business practice totally unacceptable addition charge times airport shuttle fee use shuttle two time airport pressure tactic lie do not let customer see sign lure customer purchase rental car addon unacceptable will not go back fox rent car ever base thousand review internet complain thing bad business practice tactic fox rent car use recommend go rental car company,30,October,2024
Not enough agents at Fort Lauderdale. Waited over an hour in line to pick up my car. Only 3 agents and at lest 20 customers. No other agencies had anything near as long of a wait. ,1,GB,2024-11-25,Negative,enough agent fort lauderdale wait hour line pick car agent lest customer agencie anything near long wait,25,November,2024
"If only I could give 0 starsI won't explain the whole situation, but essentially we needed our car changing during a trip as the tires kept loosing pressure. We reported the problem, they suggestion was to take it to a garage the next day, problem, it was the 4th July the following day and we had reservations at Mt Rainer. We were currently in forks, no way would anything be open. But, they assured us it would. Surprise, surprise the next day, nothing was open. So we had to wait over 8 hours for them to bring us a new car from Seattle to Forks.I have been having an exchange of emails with them recently, finally agreeing to a refund of half the amount. Which originally started as them saying they would only go as far as a mere 25% - This is still going on, even though they have a agreed, I have had 0 response since this. Appalling customer service, this matter could have been dealt with if they actually listen to customers, rather than following a script. We're not even American, even we knew the 4th July was a pretty big deal.....",1,US,2024-07-03,Negative,could give starsi will not explain whole situation essentially need car change trip tire keep loose pressure report problem suggestion take garage next day problem th july follow day reservation mt rainer currently fork way would anything open assure we would surprise surprise next day nothing open wait hour bring we new car seattle forksi exchange email recently finally agree refund half amount originally start say would go far mere still go even though agree response since appal customer service matter could dealt actually listen customer rather follow script even american even know th july pretty big deal,3,July,2024
