Review,Rating,Location,Date of Experience
"I recently hired a car from Fox in Phoenix Arizona from the airport I booked it through auto/slash for $486 when I pick the car up, I was charged $846. I’ve tried to dispute it with no joy. The staff at the car handover were miserable rude and I would never use this company again.",1,AW,"October 22, 2024"
"Booked rental for pickup up in Aruba, reservation was booked 3 days prior to our arrival for 9:30 am pickup. At 9:00 am get a text asking for our flight number which we replied back we arrived the night prior. We are advised at this time the car was rented out 5 days earlier and is not due back until 1:00 pm. When I called, I spoke to a manager that was totally incompetent. Her position was that the car rental system does not align the times but clearly they knew my time was 9:30 AM pick up and that the car that was rented five days prior was not due until 1 PM. This company is a total joke and when you call their customer service it’s people in the Philippines, which barely could understand English do not rent from Fox. They are the most unprofessional car rental company I’ve ever dealt with! So planning our day is not important to this company since they lack the business professionalism to notify the Customer ahead of time so much for planning our day!",1,US,"March 03, 2025"
"An employee for us traveled to Tampa. First mistake was using Expedia. In no obvious place did it tell you the renter has to have a credit card and not a debit card in his name before renting. He does carry a company debit card in his name. Nothing during the rental process stated this. We try to never travel with credit cards or any cards we do not need. Fox would not rent him the car paid for in advance. They had a sign that specifically read, ""if thius happens request your refund from the third party used to secure the rental. That would be Expedia. Once he was left 1000 miles from home with no transportation he went to Next car rental and within 10 minutes had a vehicle. Be aware of the scams Expedia and Fox car rental run. Look around the internet. They do this to unsuspecting travelers everyday all over the country, then keep their money. Nice racquet.",1,US,"February 25, 2025"
"I reserved a luxury car. They jerked me around for an hour saying it was delayed, then needed cleaned, when I bitched about the wait, they offered me an upgrade for $65 a day for 41 days. When I said No, they offered me a choice of 2 cars in a lower rate class that they said were ready to roll (no refund for the lower rated vehicle). 25 minutes after I agreed, they said the delay was due to it needing to be cleaned. Since I had to wait I told them Id take the original car I reserved, then they told me they didnt have one. Lied to me from the beginning attempting to get me to pay more for the rental. Their extra charges, not disclosed ar time of reservation are excessive.  I declined everything BUT the agent put them on the bill. I MADE him remove them and then I started being ignored. I asked for a supervisor and the agent gave me the name of a vehicle intake guy, not a supervisor. When I got to the real manager, she was awesome, she dealt with me being outraged and offered me a small discount. I ended up with a lesser vehicle with a sports seat that isn't any good for a guy w 4 lower back surgeries and lots of metal. I had to roll out of this piece of garbage and Im expected to keep it for the whole 6 week rental. This is not over.I will never ever trust this company again regardless of the rates.I spent nearly 2 hours at the office with poor results. I prepaid the reservation so they couldnt refund it so I could go to a reputable rental car company.  This company deserves and works hard to get their 1.1-1.6 rating",1,US,"February 26, 2025"
"We reserved a vehicle for April 29th, but had to cancel due to unforseen sale of our son and daughter in laws property where they were renting, had to cancel the vacation, and reservation, Fox refused to refund the deposit because of their ridiculous no refund policy, really? Canceled over 2 months ahead of time,  I don't care what policy you carry, unforseen incidents and canceling over 2 months ahead of time should be a customer courtesy not a customer ripoff, ",1,DK,"February 19, 2025"
"Overall good service, car and location in LAX, but getting hammered with a 130 dollars airport fees for a simply rental isn't the way to go as a company. You can go fox yourself...",2,HR,"February 16, 2025"
"Avoid Fox Car in Morocco – Hidden Fees & Terrible Service!I had an awful experience renting a car from Fox Rent a Car in Marrakesh Airport, Morocco. They charged me €25 for an AdBlue tank that was completely empty after just one day of rental! This is a clear scam – they either gave me a car with an almost empty AdBlue tank or deliberately set it up so I’d be forced to refill it myself.When I reached out to them about the issue, their customer service was useless – completely dismissive and unwilling to help. Instead of admitting their mistake, they just brushed me off and refused to take responsibility. This is nothing but a cheap way to extract extra money from customers.If you’re thinking about renting from Fox Rent a Car in Marrakesh, Morocco – DON’T! Be ready for hidden fees and unethical business practices. There are plenty of other rental companies that won’t try to rip you off.Save yourself the frustration and go elsewhere!",1,US,"February 05, 2025"
"Kind of a mixed bag.  Made a reso through priceline for a vehicle at St. Maarten airport.  Shuttle experience was fine- Fox is actually Europcar there.  However, upon arriving at the office another client and I were told that there were no cars available, despite both of our confirmed reservations.  The manager said that he was only honoring pre-paid reservations.  The other gent ended up securing a car after he told them that a local friend had called to make the reso.  I think I looked so deflated and defeated that they decided they had a car for me after all.  The next shuttle arrives and I heard them tell 10 more people there were no cars available even though they also had reservations-  who knows how many people were in the same situation.My rental ended up being fine, but only through luck-  if pre-payment is required they should relay this to priceline, or just ensure the number of reservations matches the number of vehicles (seems pretty basic logic for a car rental company).  Needless stress upon arrival for vacation.",3,GB,"January 18, 2025"
"Worst service we have ever received, we paid for our biking prior to travelling. When we went to pick up our prebooked and paid for rental we were told they can see we’ve made a payment but can’t find the booking despite having a booking reference. We were asked to pay again and told we can request a refund for the original booking.We have number n back and fourth with Fox rental, carjet and you do Spain to no prevail. We are owed £239.36 which may seem like a trivial amount but to us it’s quite a bit of money.I have disappointed by the lack of reply from carjet. We have never hired a car through carjet, fox rental or you do Spain before and we now will never use them again and will tell all our friends and family and our contacts in the travel industry never to recommend them.It is appalling how they think it’s ok to not refund what is due, when we work so hard for every cent and can’t afford not to be refunded,It has been just shy of four month chasing our refund.",1,US,"November 15, 2024"
"Over an hour wait in line to pick up the car, quoted 71.00 for a day rental, total came to over 125.00 due to all the hidden charges.The staff were all unacceptably rude, and the drop off is NOT at the Miami airport, I had to pay for an uber from the rental to the airport. Never again. ",1,US,"February 02, 2025"
