Word,Frequency
car,5090
fox,2630
rental,2331
great,1856
service,1752
get,1687
rent,1626
not,1457
easy,1419
experience,1278
good,1261
vehicle,1254
return,1148
would,1110
time,1086
customer,1073
price,1059
staff,965
pick,955
use,936
airport,929
do,927
company,873
charge,868
we,848
go,842
shuttle,815
make,810
friendly,808
take,721
clean,703
pay,698
wait,675
say,674
day,668
tell,624
well,604
helpful,594
drop,570
process,566
back,552
give,543
one,532
check,531
reservation,521
could,515
need,513
nice,495
quick,494
call,492
never,485
hour,467
counter,464
pickup,459
insurance,454
line,449
people,419
even,418
book,409
minute,405
fast,400
i,398
long,396
excellent,395
fee,385
try,385
like,383
also,378
location,373
help,366
agent,343
toll,342
drive,341
everything,338
recommend,331
thank,331
first,329
card,325
rate,321
work,321
driver,319
want,317
issue,317
extra,313
bad,312
definitely,308
find,308
always,302
upgrade,300
ask,299
arrive,296
cost,293
way,293
credit,282
new,282
gas,272
know,268
another,267
employee,248
see,248
leave,244
lot,240
ve,239
come,236
really,234
professional,232
efficient,232
overall,231
desk,231
receive,229
trip,229
reserve,228
ever,225
full,217
problem,216
provide,214
smooth,212
review,210
deal,209
super,208
money,208
be,208
end,207
additional,204
flight,203
person,201
suv,200
sure,199
available,196
phone,192
next,188
add,187
much,186
look,185
email,185
offer,182
low,179
tire,177
keep,176
right,175
place,175
online,174
sign,172
refund,172
deposit,171
two,170
still,166
front,165
little,162
travel,162
name,160
care,157
change,157
website,156
happy,155
option,154
year,154
week,153
every,152
expect,152
condition,151
thing,151
since,151
start,150
site,149
think,149
late,148
early,148
many,147
business,146
bus,144
mile,144
away,144
m,143
without,142
last,142
manager,142
though,141
feel,139
office,138
prepay,138
show,137
kind,136
due,136
value,135
tank,135
able,134
around,134
explain,133
courteous,133
however,132
pleasant,132
later,130
star,128
already,128
cheap,128
guy,128
expedia,128
small,127
extremely,126
hold,123
s,123
everyone,123
bill,122
less,121
area,119
love,119
bit,118
contact,118
cancel,118
number,118
can,117
reasonable,117
highly,117
run,117
different,116
pass,116
upon,115
finally,114
whole,113
awesome,113
let,113
road,112
amazing,112
family,112
rep,110
ready,110
total,109
free,109
state,109
choose,109
lax,109
representative,108
orlando,108
quickly,106
fine,105
big,105
dollar,105
agency,104
someone,104
lady,104
seem,104
read,104
send,103
entire,103
amount,102
inside,101
san,101
fill,101
far,100
per,100
horrible,100
van,99
almost,98
wonderful,98
rude,98
renting,98
speak,97
simple,97
d,97
avoid,96
vegas,96
anyone,94
several,94
question,93
answer,93
close,93
future,92
nothing,92
damage,92
please,91
delay,91
bring,91
save,91
put,90
walk,90
purchase,90
turn,90
high,90
hide,90
booking,90
team,89
ease,89
convenient,88
request,87
min,86
instead,86
information,85
fuel,85
refuse,84
second,84
perfect,84
stay,83
choice,83
brand,83
half,83
denver,82
contract,82
jeep,81
dirty,81
agreement,81
point,80
enough,79
lie,79
old,79
anything,79
checkin,78
knowledgeable,78
double,78
policy,78
affordable,78
top,77
hassle,77
terrible,77
vacation,77
job,77
key,77
you,77
ride,76
absolutely,76
especially,75
hard,74
terminal,74
seat,74
include,74
clear,74
waiting,73
response,73
that,73
scam,73
las,73
polite,73
smoothly,72
talk,72
happen,72
pricing,71
hear,71
spend,71
priceline,71
toyota,71
month,70
size,70
pm,70
plus,70
short,69
comfortable,69
reason,69
complaint,69
phoenix,69
worth,69
cover,69
understand,68
windshield,68
hope,68
member,67
center,67
arrival,67
else,67
party,67
something,67
require,66
license,66
morning,66
actually,66
other,66
three,66
will,66
florida,66
outside,65
quality,65
accommodate,65
least,65
seamless,65
ok,64
poor,64
order,64
night,64
pressure,64
sell,63
appreciate,63
positive,63
city,63
agree,63
fact,63
expensive,62
discount,62
mileage,62
via,62
accept,62
either,62
dropoff,62
smell,61
finish,61
quote,61
beyond,60
billing,60
buy,60
large,60
fantastic,60
reliable,59
inform,59
side,59
complete,59
re,59
open,59
write,59
twice,58
may,58
within,58
door,58
pretty,58
decline,58
plan,58
scratch,57
original,57
husband,57
smile,57
system,57
force,56
man,56
paperwork,56
payment,55
satisfied,55
etc,55
coverage,55
receipt,54
switch,54
woman,54
reply,54
notice,54
except,54
mention,54
home,54
assistance,54
yet,53
miss,53
clearly,53
wish,53
probably,53
allow,53
have,53
attendant,53
th,53
visit,53
ill,53
quite,52
surprise,52
note,52
concern,52
exactly,52
reach,52
slow,52
selection,51
lose,51
dent,51
competitive,51
stop,51
checkout,51
ahead,51
claim,51
third,50
fort,50
window,50
gallon,50
completely,50
parking,49
believe,49
wrong,49
immediately,49
date,49
luggage,49
past,48
extend,47
initial,47
follow,47
salt,47
handle,47
although,46
yes,46
situation,46
debit,46
lake,46
despite,46
europcar,46
stand,45
might,45
part,45
must,45
hand,45
realize,45
navigate,45
roadside,44
aware,44
enjoy,44
otherwise,44
difficult,44
similar,44
negative,43
compare,43
security,43
correct,43
break,43
type,43
wife,43
advance,43
model,43
matter,43
patient,42
suppose,42
usually,42
respond,42
sale,42
fair,42
move,42
